code,name,market
030518,滬深2X凱基59購02,上市
030523,光寶科凱基55購01,上市
030526,鴻海凱基56購03,上市
030528,金像電凱基57購01,上市
030533,奇鋐凱基55購03,上市
030535,欣興凱基57購01,上市
030548,台泥統一57購01,上市
030549,亞泥統一58購01,上市
03054U,台積電永豐55售02,上市
030550,台塑統一56購02,上市
030551,台塑統一58購01,上市
030552,台塑統一58購02,上市
030553,三芳統一58購01,上市
030554,台化統一58購01,上市
030555,台化統一58購02,上市
030556,華城統一56購04,上市
030557,華城統一58購01,上市
030558,華新統一56購03,上市
030559,華新統一56購04,上市
030560,華新統一57購01,上市
030561,台玻統一57購03,上市
030562,台玻統一58購02,上市
030563,中鴻統一57購01,上市
030564,大成鋼統一58購02,上市
030565,上銀統一57購03,上市
030566,川湖統一57購03,上市
030567,川湖統一58購03,上市
030568,光寶科統一56購02,上市
030569,光寶科統一58購01,上市
030570,華通統一58購01,上市
030571,華通統一58購02,上市
030572,仁寶統一57購01,上市
030573,台積電統一68購01,上市
030574,智邦統一58購01,上市
030575,智邦統一58購02,上市
030576,智邦統一5A購01,上市
030577,英業達統一57購03,上市
030578,金像電統一62購01,上市
030579,台光電統一58購02,上市
030580,台光電統一62購01,上市
030581,南亞科統一58購02,上市
030582,鉅祥統一58購01,上市
030583,長榮統一57購01,上市
030584,陽明統一57購01,上市
030585,萬海統一57購01,上市
030586,漢翔統一58購01,上市
030587,長榮太統一58購01,上市
030588,智原統一57購01,上市
030589,文曄統一58購01,上市
030590,欣興統一58購01,上市
030591,緯創統一59購01,上市
030592,緯創統一5A購01,上市
030593,玉晶光統一58購01,上市
030594,健策統一58購01,上市
030595,健策統一58購02,上市
030596,貿聯統一58購03,上市
030597,TPK統一58購02,上市
030598,日月光統一57購02,上市
030599,南寶統一58購01,上市
030600,致伸統一58購02,上市
030601,臻鼎統一58購01,上市
030602,飛捷統一57購02,上市
030603,聯茂統一58購02,上市
030604,同欣電統一58購01,上市
030605,台塑化統一58購01,上市
030606,台塑化統一58購02,上市
030607,愛普統一58購01,上市
030608,緯穎統一5B購01,上市
030609,緯穎統一62購01,上市
030610,AES統一57購01,上市
030611,AES統一58購01,上市
030612,南電統一58購01,上市
030613,億豐統一58購01,上市
030617,臺指反元大56購01,上市
030618,台泥元大55購01,上市
030646,欣興元大56購04,上市
030657,AES元大56購04,上市
030672,台光電群益57購01,上市
030679,景碩群益58購01,上市
030698,欣興富邦56購01,上市
030704,楠梓電元富55購02,上市
030719,A50正2國票56購01,上市
030721,元金2X國票56購01,上市
030728,宏達電國票55購02,上市
03074X,元展69,上市
030754,緯穎國泰57購01,上市
030755,華城統一57購01,上市
030756,致茂統一57購02,上市
030757,漢唐統一57購03,上市
030758,景碩統一57購04,上市
030759,牧德統一57購01,上市
030760,世芯統一57購03,上市
030761,定穎控統一57購02,上市
030762,南寶統一57購01,上市
030763,立積統一57購03,上市
030764,愛普統一57購02,上市
030765,富世達統一57購02,上市
030766,T50反1中信62購01,上市
030767,臺指反中信62購01,上市
030768,道瓊反中信56購01,上市
030769,台達電中信58購01,上市
030771,台灣50永豐58購02,上市
030772,T50反1永豐55購01,上市
030791,光寶科凱基58購01,上市
030793,鴻海凱基68購01,上市
030813,AES凱基56購01,上市
030827,大成鋼元大58購01,上市
030857,AES元大56購05,上市
030860,滬深2X群益57購01,上市
030867,台光電群益57購02,上市
030886,T50正2中信56購03,上市
030887,台塑中信58購01,上市
030888,台灣50永豐58購03,上市
030889,元債2X永豐64購01,上市
030897,上証2X元富55購01,上市
030902,智邦元富55購01,上市
030903,智邦元富58購01,上市
030904,智邦元富58購02,上市
030906,佳能元富55購01,上市
030910,亞光元富55購01,上市
030918,上品元富55購01,上市
030930,創意國票56購01,上市
030931,嘉澤國票58購01,上市
030935,全訊國票56購01,上市
030936,穎崴國票56購01,上市
030938,昇陽半國票55購01,上市
03093X,永豐金元大61展01,上市
030963,富世達富邦55購01,上市
030966,台玻凱基56購01,上市
030967,鴻海凱基68購02,上市
030989,昇陽半凱基56購02,上市
030996,大成鋼元大58購02,上市
031000,楠梓電元大58購01,上市
031017,宏達電元大55購01,上市
031019,欣興元大58購01,上市
031021,群創元大57購01,上市
031026,材料元大58購01,上市
031030,亞翔元大58購01,上市
031033,富世達元大56購02,上市
031036,南電元大56購03,上市
031040,臺股指元大56購07,上市
031065,台達電中信56購01,上市
031070,神達中信56購01,上市
031073,世紀鋼中信56購01,上市
031074,美債2X永豐64購01,上市
031096,大同統一54購01,上市
031097,大同統一54購02,上市
031103,佳能元富55購02,上市
031114,亞航元富55購01,上市
031116,奇鋐元富58購02,上市
031121,宏致元富55購01,上市
031123,緯穎元富58購02,上市
031144,T50反1富邦58購01,上市
031149,全新富邦55購01,上市
031154,美指2X凱基56購01,上市
031159,中砂凱基56購02,上市
031165,鴻海凱基56購05,上市
031172,亞光凱基55購01,上市
031177,穎崴凱基56購01,上市
031184,世紀鋼凱基55購03,上市
031188,道瓊銀國票58購02,上市
031189,中興電國票58購01,上市
031192,合機國票55購01,上市
031194,光寶科國票57購02,上市
031195,楠梓電國票55購01,上市
031207,德律國票58購01,上市
031229,佳能元大56購01,上市
031254,材料元大58購02,上市
031256,亞翔元大58購02,上市
031261,富世達元大58購01,上市
031264,昇陽半元大57購01,上市
031266,台塑統一68購01,上市
031267,和大統一58購01,上市
031268,川湖統一58購04,上市
031269,川湖統一62購01,上市
031270,光寶科統一57購03,上市
031271,台達電統一57購07,上市
031272,台達電統一62購01,上市
031273,鴻海統一5C購03,上市
031274,鴻海統一68購01,上市
031275,廣宇統一58購02,上市
031276,友訊統一57購01,上市
031277,致茂統一58購01,上市
031278,致茂統一5A購01,上市
031279,金像電統一57購04,上市
031280,金像電統一58購02,上市
031281,大同統一58購01,上市
031282,台光電統一57購02,上市
031283,群光統一58購01,上市
031284,建準統一57購01,上市
031285,建準統一57購02,上市
031286,建準統一62購01,上市
031287,長榮太統一57購01,上市
031288,長榮太統一5A購01,上市
031289,長榮太統一62購01,上市
031290,奇鋐統一57購03,上市
031291,奇鋐統一58購01,上市
031292,奇鋐統一68購01,上市
031293,亞光統一57購02,上市
031294,亞光統一58購05,上市
031295,亞光統一58購06,上市
031296,亞光統一59購01,上市
031297,亞光統一5B購02,上市
031298,智原統一58購02,上市
031299,華晶科統一57購02,上市
